ItemID,Postcode,Price
1,SR2 0QP,62
2,CF14 1LE,26
3,SR8 4HA,41
4,AB55 6UY,86
5,SR8 4HA,8
6,HU15 2XH,43
7,RH10 4UQ,29
8,SR8 4HA,95
9,EH48 1HF,45
10,SR8 4HA,52
11,M40 0EF,23
12,CM0 8FA,48
13,CF14 1LE,34
14,CM0 8FA,72
15,M40 0EF,6
16,SR2 0QP,67
17,SR8 4HA,16
18,AB55 6UY,49
19,SR2 0QP,87
20,RH10 4UQ,68
21,SM6 7ET,20
22,SM6 7ET,31
23,SM6 7ET,61
24,AB55 6UY,52
25,SR2 0QP,25
26,RH10 4UQ,38
27,M40 0EF,87
28,RH10 4UQ,97
29,AB55 6UY,17
30,CM0 8FA,40
31,CF14 1LE,30
32,AB55 6UY,95
33,RH10 4UQ,41
34,HU15 2XH,11
35,AB55 6UY,18
36,CF14 1LE,69
37,SM6 7ET,23
38,HU15 2XH,6
39,SR2 0QP,9
40,SR2 0QP,64
41,RH10 4UQ,99
42,HU15 2XH,49
43,EH48 1HF,38
44,AB55 6UY,12
45,SM6 7ET,9
46,AB55 6UY,69
47,AB55 6UY,51
48,HU15 2XH,27
49,CM0 8FA,20
50,M40 0EF,42
51,SR2 0QP,39
52,SM6 7ET,91
53,HU15 2XH,67
54,RH10 4UQ,15
55,RH10 4UQ,8
56,M40 0EF,69
57,CF14 1LE,43
58,HU15 2XH,78
59,RH10 4UQ,84
60,M40 0EF,13
61,SR2 0QP,31
62,SR8 4HA,11
63,SM6 7ET,39
64,SM6 7ET,31
65,RH10 4UQ,75
66,EH48 1HF,80
67,SR8 4HA,85
68,SR2 0QP,96
69,M40 0EF,5
70,CM0 8FA,29
71,CF14 1LE,59
72,RH10 4UQ,46
73,EH48 1HF,41
74,RH10 4UQ,72
75,CF14 1LE,74
76,SR8 4HA,23
77,RH10 4UQ,60
78,SR8 4HA,36
79,SR2 0QP,55
80,CM0 8FA,80
81,AB55 6UY,8
82,SR2 0QP,34
83,CF14 1LE,33
84,RH10 4UQ,41
85,CF14 1LE,63
86,HU15 2XH,80
87,CF14 1LE,60
88,AB55 6UY,77
89,CM0 8FA,71
90,SR8 4HA,97
91,SR8 4HA,94
92,M40 0EF,72
93,EH48 1HF,18
94,HU15 2XH,79
95,SR2 0QP,86
96,SR2 0QP,76
97,RH10 4UQ,38
98,SR2 0QP,78
99,SR8 4HA,78
100,SR2 0QP,6
101,M40 0EF,55
102,HU15 2XH,69
103,CF14 1LE,22
104,CF14 1LE,66
105,SR8 4HA,91
106,M40 0EF,79
107,CM0 8FA,80
108,HU15 2XH,77
109,RH10 4UQ,95
110,RH10 4UQ,59
111,SM6 7ET,37
112,RH10 4UQ,7
113,SM6 7ET,76
114,AB55 6UY,85
115,AB55 6UY,60
116,CF14 1LE,16
117,HU15 2XH,33
118,EH48 1HF,44
119,SM6 7ET,17
120,CF14 1LE,60
121,CM0 8FA,27
122,SM6 7ET,60
123,M40 0EF,43
124,M40 0EF,51
125,HU15 2XH,24
126,HU15 2XH,34
127,AB55 6UY,83
128,HU15 2XH,71
129,SR8 4HA,31
130,M40 0EF,54
131,SM6 7ET,9
132,SR8 4HA,81
133,CF14 1LE,91
134,EH48 1HF,55
135,CF14 1LE,50
136,M40 0EF,92
137,HU15 2XH,71
138,SR8 4HA,32
139,SM6 7ET,49
140,M40 0EF,27
141,EH48 1HF,61
142,AB55 6UY,73
143,CF14 1LE,85
144,M40 0EF,71
145,CF14 1LE,55
146,AB55 6UY,42
147,CM0 8FA,67
148,CF14 1LE,76
149,M40 0EF,39
150,CM0 8FA,9
151,SM6 7ET,33
152,HU15 2XH,95
153,CF14 1LE,86
154,RH10 4UQ,37
155,SR2 0QP,74
156,CM0 8FA,45
157,SM6 7ET,7
158,SR2 0QP,68
159,M40 0EF,25
160,CM0 8FA,24
161,CM0 8FA,90
162,M40 0EF,49
163,SR2 0QP,33
164,CM0 8FA,24
165,CM0 8FA,45
166,SM6 7ET,65
167,CF14 1LE,53
168,SM6 7ET,38
169,M40 0EF,52
170,RH10 4UQ,78
171,RH10 4UQ,58
172,SR2 0QP,32
173,HU15 2XH,21
174,AB55 6UY,91
175,CF14 1LE,43
176,M40 0EF,73
177,CM0 8FA,19
178,CM0 8FA,24
179,SR8 4HA,96
180,CM0 8FA,29
181,CF14 1LE,12
182,CM0 8FA,51
183,RH10 4UQ,72
184,M40 0EF,51
185,SR2 0QP,93
186,EH48 1HF,43
187,CF14 1LE,98
188,AB55 6UY,83
189,RH10 4UQ,5
190,SR2 0QP,24
191,SM6 7ET,44
192,CF14 1LE,19
193,RH10 4UQ,88
194,RH10 4UQ,84
195,RH10 4UQ,55
196,M40 0EF,8
197,CM0 8FA,33
198,CF14 1LE,44
199,RH10 4UQ,74
200,HU15 2XH,87
201,HU15 2XH,8
